an,chinese
ang,chinese
ao,chinese
au,chinese
au yeung,chinese
ba,chinese
bai,chinese
ban,chinese
bao,chinese
bau,chinese
bi,chinese
bo,chinese
bu,chinese
cai,chinese
cao,chinese
cha,chinese
chai,chinese
cham,chinese
chan,chinese
chang,chinese
chao,chinese
chau,chinese
che,chinese
cheah,chinese
chee,chinese
chen,chinese
cheng,chinese
cheong,chinese
chern,chinese
cheung,chinese
chew,chinese
chi,chinese
chia,chinese
chiang,chinese
chiao,chinese
chien,chinese
chim,chinese
chin,chinese
ching,chinese
chiong,chinese
chiou,chinese
chiu,chinese
cho,chinese
choi,chinese
chong,chinese
choo,chinese
chou,chinese
chow,chinese
choy,chinese
chu,chinese
chua,chinese
chuang,chinese
chui,chinese
chun,chinese
chung,chinese
cong,chinese
cui,chinese
dai,chinese
dang,chinese
dea,chinese
deng,chinese
ding,chinese
do,chinese
dong,chinese
doo,chinese
du,chinese
duan,chinese
dung,chinese
eng,chinese
fan,chinese
fang,chinese
fei,chinese
feng,chinese
fok,chinese
fong,chinese
foo,chinese
fu,chinese
fung,chinese
gan,chinese
gang,chinese
gao,chinese
gau,chinese
ge,chinese
geng,chinese
go,chinese
goh,chinese
gong,chinese
gu,chinese
guan,chinese
guo,chinese
ha,chinese
hai,chinese
han,chinese
hang,chinese
hao,chinese
hau,chinese
he,chinese
ho,chinese
hoh,chinese
hom,chinese
hon,chinese
hong,chinese
hoo,chinese
hou,chinese
hsi,chinese
hsia,chinese
hsiao,chinese
hsieh,chinese
hsiung,chinese
hsu,chinese
hsueh,chinese
hu,chinese
hua,chinese
huang,chinese
hui,chinese
huie,chinese
hum,chinese
hung,chinese
huo,chinese
hwang,chinese
hy,chinese
ing,chinese
ip,chinese
jan,chinese
jang,chinese
jen,chinese
jeng,chinese
jeung,chinese
jew,chinese
jia,chinese
jian,chinese
jiang,chinese
jiao,chinese
jim,chinese
jin,chinese
jing,chinese
jo,chinese
joe,chinese
jong,chinese
joo,chinese
jou,chinese
jow,chinese
ju,chinese
jue,chinese
jung,chinese
kam,chinese
kan,chinese
kang,chinese
kao,chinese
kau,chinese
ke,chinese
keng,chinese
kho,chinese
khoo,chinese
kiang,chinese
king,chinese
ko,chinese
koh,chinese
kong,chinese
koo,chinese
kook,chinese
kou,chinese
ku,chinese
kuan,chinese
kuang,chinese
kuk,chinese
